book_id,title,author_id
479, Profound exuding analyzer,4
484, Fundamental impactful function,4
181, Virtual encompassing throughput,7
916, Seamless attitude-oriented infrastructure,4
907, Exclusive contextually-based archive,8
592, Function-based radical paradigm,711
961, Versatile client-server success,60
324, Networked grid-enabled forecast,68
640, Self-enabling intangible migration,684
995, Synergistic tangible open system,186
72, Integrated global core,234
948, Persistent 4thgeneration projection,860
533, Secured well-modulated policy,308
59, Phased zero-defect functionalities,484
223, Compatible foreground knowledge user,846
861, Centralized systematic Graphic Interface,192
723, Enterprise-wide optimizing standardization,89
407, Balanced non-volatile workforce,645
167, Sharable maximized array,922
