book_id,title,count_rentals,rental_rank
178, Focused transitional website,5,1
963, Inverse reciprocal adapter,5,1
618, Customizable mission-critical frame,5,1
757, Sharable content-based protocol,4,4
617, Automated demand-driven contingency,4,4
992, Implemented 6thgeneration core,4,4
470, Virtual regional circuit,4,4
798, Switchable web-enabled website,4,4
119, Managed cohesive time-frame,4,4
50, Expanded bandwidth-monitored system engine,4,4
835, Distributed didactic methodology,4,4
298, Customer-focused value-added Local Area Network,4,4
595, Re-engineered reciprocal standardization,4,4
273, Ergonomic clear-thinking definition,4,4
357, Optimized regional function,4,4
699, Multi-layered web-enabled analyzer,4,4
183, Integrated asymmetric approach,4,4
481, Operative leadingedge Graphic Interface,4,4
734, Public-key 24hour frame,4,4
917, Synchronized attitude-oriented budgetary management,4,4
408, Ergonomic asynchronous monitoring,3,21
501, Grass-roots leadingedge knowledgebase,3,21
957, Progressive object-oriented emulation,3,21
566, Fundamental even-keeled initiative,3,21
325, Distributed secondary function,3,21
457, Streamlined impactful capacity,3,21
803, Optional executive installation,3,21
492, Profit-focused mission-critical extranet,3,21
696, Upgradable context-sensitive encryption,3,21
933, Synergized foreground hub,3,21
459, Reverse-engineered intangible extranet,3,21
232, Down-sized upward-trending info-mediaries,3,21
950, Organic leadingedge challenge,3,21
754, Compatible mission-critical parallelism,3,21
585, Implemented 24/7 matrices,3,21
167, Sharable maximized array,3,21
379, Cross-group asymmetric interface,3,21
450, Customer-focused radical process improvement,3,21
434, Cross-group object-oriented orchestration,3,21
608, Grass-roots logistical Internet solution,3,21
588, Reactive dynamic website,3,21
487, Persistent zero-defect definition,3,21
421, Customer-focused exuding challenge,3,21
223, Compatible foreground knowledge user,3,21
83, Profit-focused high-level approach,3,21
489, Inverse cohesive matrix,3,21
579, Horizontal motivating hierarchy,3,21
873, Realigned client-server forecast,3,21
812, Face-to-face value-added orchestration,3,21
622, Implemented responsive standardization,3,21
698, De-engineered solution-oriented solution,3,21
815, Business-focused systematic software,3,21
869, Expanded neutral benchmark,3,21
578, Re-contextualized bifurcated function,3,21
146, Versatile logistical hierarchy,3,21
913, Re-engineered cohesive capacity,3,21
970, Multi-layered bifurcated database,3,21
529, Devolved methodical interface,3,21
346, Devolved 24/7 array,3,21
899, De-engineered context-sensitive definition,3,21
932, Multi-channeled intangible support,3,21
20, Customer-focused full-range circuit,3,21
224, Upgradable grid-enabled productivity,3,21
563, Devolved high-level framework,3,21
811, Profit-focused actuating secured line,3,21
800, Ergonomic clear-thinking array,3,21
402, Programmable secondary capability,3,21
528, Ergonomic bi-directional Graphic Interface,3,21
18, User-centric value-added productivity,3,21
397, Reverse-engineered intermediate collaboration,3,21
960, Monitored static frame,3,21
855, Seamless object-oriented throughput,3,21
612, Multi-tiered systemic Local Area Network,3,21
240, Focused exuding intranet,3,21
849, Optimized client-server capacity,3,21
209, Customizable value-added intranet,3,21
442, Sharable secondary migration,3,21
981, Ergonomic disintermediate throughput,3,21
244, Inverse maximized data-warehouse,3,21
859, Vision-oriented reciprocal Graphical User Interface,3,21
697, Profit-focused non-volatile interface,2,81
128, Multi-tiered interactive info-mediaries,2,81
592, Function-based radical paradigm,2,81
154, Total exuding installation,2,81
165, Object-based asynchronous functionalities,2,81
620, Re-engineered mobile access,2,81
906, Optimized web-enabled moderator,2,81
909, Total bifurcated concept,2,81
205, Multi-layered neutral software,2,81
748, Ameliorated national customer loyalty,2,81
334, Optimized client-driven paradigm,2,81
745, Synergized methodical capacity,2,81
342, Ergonomic optimal process improvement,2,81
367, Automated clear-thinking Internet solution,2,81
173, Streamlined high-level encryption,2,81
336, Implemented mobile focus group,2,81
275, Adaptive 6thgeneration model,2,81
152, Fully-configurable impactful infrastructure,2,81
351, Decentralized leadingedge synergy,2,81
672, Proactive zero-defect utilization,2,81
732, Adaptive context-sensitive infrastructure,2,81
731, Profit-focused tangible capacity,2,81
256, Networked static service-desk,2,81
654, Implemented demand-driven open system,2,81
747, Ameliorated radical matrices,2,81
180, Organic non-volatile success,2,81
967, Compatible disintermediate system engine,2,81
626, Cross-group value-added process improvement,2,81
817, Configurable national help-desk,2,81
784, Focused tangible knowledge user,2,81
169, Vision-oriented impactful service-desk,2,81
345, Fully-configurable intangible time-frame,2,81
660, De-engineered dedicated toolset,2,81
971, Devolved systemic installation,2,81
910, Reverse-engineered tangible array,2,81
236, Organized dedicated structure,2,81
941, Re-engineered dynamic ability,2,81
949, Decentralized client-driven neural-net,2,81
454, Synergistic impactful product,2,81
707, Cloned interactive model,2,81
500, Reactive global flexibility,2,81
875, Distributed client-server emulation,2,81
420, Implemented zero tolerance data-warehouse,2,81
755, Function-based asynchronous secured line,2,81
842, De-engineered heuristic project,2,81
461, Down-sized leadingedge intranet,2,81
602, Open-architected heuristic analyzer,2,81
545, Horizontal optimizing ability,2,81
634, Robust user-facing software,2,81
347, Organized static superstructure,2,81
636, Expanded grid-enabled flexibility,2,81
866, Synergistic heuristic structure,2,81
48, Self-enabling background leverage,2,81
447, De-engineered client-driven monitoring,2,81
776, Right-sized coherent synergy,2,81
14, Object-based interactive emulation,2,81
109, Function-based intangible superstructure,2,81
658, Monitored 3rdgeneration Graphic Interface,2,81
5, Decentralized multimedia infrastructure,2,81
808, Cross-group optimal website,2,81
383, Multi-layered next generation encryption,2,81
496, Open-source didactic workforce,2,81
624, Horizontal dedicated intranet,2,81
58, Optimized eco-centric budgetary management,2,81
361, Profit-focused asynchronous concept,2,81
120, Team-oriented intangible array,2,81
162, Networked cohesive core,2,81
738, Expanded optimizing database,2,81
582, Grass-roots intangible knowledge user,2,81
330, User-friendly impactful leverage,2,81
802, Right-sized holistic Local Area Network,2,81
643, Innovative disintermediate access,2,81
814, Seamless modular customer loyalty,2,81
547, Pre-emptive tertiary architecture,2,81
294, Future-proofed uniform projection,2,81
343, Multi-tiered client-driven firmware,2,81
590, Object-based contextually-based extranet,2,81
31, Total heuristic application,2,81
607, Balanced system-worthy website,2,81
678, Business-focused disintermediate database,2,81
17, Horizontal bi-directional core,2,81
794, Integrated mobile capacity,2,81
63, Public-key zero tolerance instruction set,2,81
516, Monitored grid-enabled infrastructure,2,81
216, Profound disintermediate model,2,81
382, Open-architected empowering pricing structure,2,81
902, Digitized 6thgeneration capacity,2,81
853, Virtual cohesive middleware,2,81
833, Robust demand-driven hub,2,81
230, Networked empowering initiative,2,81
688, Mandatory content-based archive,2,81
799, Digitized executive product,2,81
851, Switchable background structure,2,81
893, Down-sized intermediate adapter,2,81
568, Pre-emptive non-volatile frame,2,81
371, Triple-buffered heuristic emulation,2,81
649, Object-based composite success,2,81
852, Ergonomic uniform hardware,2,81
429, Distributed interactive infrastructure,2,81
211, Digitized reciprocal framework,2,81
536, Customizable intermediate functionalities,2,81
449, Exclusive didactic frame,2,81
160, Operative contextually-based array,2,81
713, Business-focused coherent flexibility,2,81
514, Visionary asymmetric functionalities,2,81
555, Up-sized didactic matrix,2,81
693, Intuitive full-range adapter,2,81
98, Optional 3rdgeneration capacity,2,81
715, Fully-configurable neutral definition,2,81
329, Self-enabling hybrid capability,2,81
676, Ergonomic eco-centric challenge,2,81
480, Reduced well-modulated artificial intelligence,2,81
26, Diverse encompassing artificial intelligence,2,81
989, Seamless maximized capability,2,81
564, Automated clear-thinking firmware,2,81
778, Multi-tiered radical flexibility,2,81
72, Integrated global core,2,81
310, Cross-group secondary instruction set,2,81
832, Right-sized national architecture,2,81
353, Universal value-added knowledge user,2,81
831, Optimized object-oriented interface,2,81
574, Grass-roots didactic service-desk,2,81
333, Focused fault-tolerant open system,2,81
174, Digitized multi-tasking moratorium,2,81
948, Persistent 4thgeneration projection,2,81
259, Versatile executive function,2,81
417, Exclusive background time-frame,2,81
172, Seamless hybrid migration,2,81
409, Compatible encompassing application,2,81
91, Synergistic 5thgeneration hardware,2,81
544, Extended incremental artificial intelligence,2,81
606, Multi-lateral national website,2,81
308, Profound empowering adapter,2,81
880, Optional discrete capability,2,81
140, Streamlined transitional matrix,2,81
248, Front-line stable forecast,2,81
208, Progressive human-resource model,2,81
392, Down-sized 24hour pricing structure,2,81
614, Cross-group client-server extranet,2,81
324, Networked grid-enabled forecast,2,81
87, Compatible web-enabled functionalities,2,81
753, Reverse-engineered well-modulated website,2,81
305, Stand-alone stable adapter,2,81
874, Centralized analyzing framework,2,81
10, Extended heuristic conglomeration,2,81
919, Innovative actuating software,2,81
868, Profound static methodology,2,81
733, Exclusive actuating strategy,2,81
261, Open-source regional interface,2,81
947, Synergistic discrete architecture,2,81
661, Ergonomic 24hour alliance,2,81
498, Customizable holistic framework,2,81
862, Front-line discrete productivity,2,81
494, Synergistic responsive utilization,2,81
792, User-centric empowering solution,2,81
381, Expanded maximized benchmark,2,81
793, Persistent eco-centric moratorium,2,81
548, Multi-layered discrete success,2,81
709, Horizontal even-keeled analyzer,2,81
177, Multi-channeled bifurcated pricing structure,2,81
985, Synergized explicit challenge,2,81
596, Configurable 6thgeneration orchestration,2,81
931, Monitored encompassing hardware,2,81
557, Front-line 4thgeneration implementation,2,81
623, Operative incremental function,2,81
485, Multi-tiered logistical knowledgebase,2,81
559, Persevering stable interface,2,81
788, Public-key non-volatile collaboration,2,81
304, Reduced asynchronous Graphic Interface,2,81
341, Organic maximized project,2,81
473, Stand-alone optimizing extranet,2,81
69, Implemented incremental budgetary management,2,81
878, Self-enabling hybrid initiative,2,81
883, Public-key systemic pricing structure,2,81
726, Face-to-face analyzing utilization,2,81
729, Virtual empowering productivity,2,81
630, Stand-alone global extranet,2,81
821, Extended system-worthy alliance,2,81
279, Ergonomic composite adapter,2,81
9, Total content-based monitoring,2,81
